classificacao,nome_cientifico,nome_comum,cultura
Insetos,Acromyrmex subterraneus bruneus,['Quenquém-de-cisco-graúda'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4809'}]"
Insetos,Acromyrmex subterraneus molestans,['Formiga-caiapó-capixaba'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4825'}]"
Insetos,Acromyrmex subterraneus subterraneus,['Formiga-caiapó'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4826'}]"
Insetos,Aculops lycopersici,"['Ácaro-bronzeado', 'Ácaro-do-bronzeamento']","[{'nome': 'Tomate', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3717'}, {'nome': 'Berinjela', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2720'}, {'nome': 'Pimentão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3647'}]"
Insetos,Aculus cornutus,['Ácaro-prateado'],"[{'nome': 'Maçã', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3193'}, {'nome': 'Pessego', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3434'}, {'nome': 'Pera', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3548'}]"
Insetos,Acutaspis scutiformis,['Cochonilha'],"[{'nome': 'Citros', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3102'}]"
Insetos,Acyrthosiphon pisum,"['piolho-da-ervilha', 'pulgão-da-ervilha']","[{'nome': 'Lentilha', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7257'}, {'nome': 'Ervilha', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7243'}]"
Insetos,Aegomorphus jaspideus,['Besouro-serra-pau'],"[{'nome': 'Noz-pecã', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8697'}]"
Insetos,Aeneolamia selecta,['Cigarrinha'],"[{'nome': 'Pastagens', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3415'}]"
Insetos,Aethalion reticulatum,"['Cigarrinha-das-frutíferas', 'Cigarrinha-do-pedúnculo', 'cigarrinha do pedúnculo']","[{'nome': 'Abacate', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2442'}, {'nome': 'Manga', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3008'}, {'nome': 'Uva', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8136'}, {'nome': 'Caju', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2779'}, {'nome': 'Rosa', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3497'}, {'nome': 'Graviola', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3369'}, {'nome': 'Cacau', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2727'}, {'nome': 'Figo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2945'}, {'nome': 'Café', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2730'}, {'nome': 'Citros', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2893'}]"
